Sex Determination,heterogametic lifespan,homogametic lifespan,lnRRlifespan,GS Fem pg,GS Male pg,GS Sex Unknown pg,GS data? Y/N,GS Female Mb,GS Male Mb
male heterogametic,3,3.5,0.15415068,,,,N,,
male heterogametic,4.5,5,0.10536052,,,,N,,
male heterogametic,9.72,8.46,-0.1388364,,,,N,,
male heterogametic,50,50,0,,,,N,,
male heterogametic,26,26,0,,2.88,3.63,Y,,2816.64
male heterogametic,21,21.5,0.0235305,,,,N,,
male heterogametic,24.75,30,0.19237189,,,3.54,N,,
male heterogametic,15.75,16.1,0.02197891,,,,N,,
male heterogametic,18.1,15.08,-0.1825426,,,3.48,N,,
male heterogametic,24.75,22,-0.117783,,,,N,,
male heterogametic,25,40.5,0.48242615,,,3.98,N,,
male heterogametic,22.7,27,0.17347194,,,3.3,N,,
male heterogametic,23,23,0,,,4.38,N,,
male heterogametic,18.9,23,0.19633229,,,4.4,N,,
male heterogametic,24.5,23.8,-0.0289875,,,,N,,
male heterogametic,12.2,20.7,0.52869775,,,3.56,N,,
male heterogametic,27,32,0.16989904,,,3.56,N,,
male heterogametic,12.2,20.5,0.51898893,,,3.56,N,,
male heterogametic,5.51,9.44,0.53839136,,,3.37,N,,
male heterogametic,38,40,0.05129329,,,3.41,N,,
male heterogametic,12.7,22.23,0.55984074,,,3.5,N,,
male heterogametic,21,20,-0.0487902,,,4.32,N,,
male heterogametic,7.47,8.74,0.15701519,,,,N,,
male heterogametic,15.5,21.2,0.31316116,,,,N,,
male heterogametic,10.5,13.7,0.26602058,,,,N,,
male heterogametic,18,30,0.51082562,,,,N,,
male heterogametic,24,25,0.040822,,,,N,,
male heterogametic,7.6,9.62,0.23569602,,,,N,,
male heterogametic,18.8,31.1,0.50335095,,,,N,,
male heterogametic,19.3,17,-0.1268918,,,,N,,
male heterogametic,15.66,15,-0.0430595,,,,N,,
male heterogametic,18.84,23.57,0.22399245,,,,N,,
male heterogametic,80.4,84.6,0.05092009,,3.65,3.5,Y,,3569.7
male heterogametic,35,48,0.31585295,,,,N,,
male heterogametic,56,59.4,0.05894254,3.61,3.81,3.75,Y,3530.58,3726.18
male heterogametic,58,53,-0.0901511,,,,N,,
male heterogametic,58.8,57.3,-0.0258412,,3.82,3.79,Y,,3735.96
male heterogametic,44,28,-0.4519851,,,3.13,N,,
male heterogametic,40,40,0,,3.42,3.09,Y,,3344.76
male heterogametic,31,37.9,0.20096391,,,,N,,
male heterogametic,37,38,0.02666825,3.9,3.96,3.37,Y,3814.2,3872.88
male heterogametic,9.16,8.85,-0.0344287,,,,N,,
male heterogametic,20.6,18.2,-0.1238695,,,,N,,
male heterogametic,20.6,18.17,-0.1255192,,,,N,,
male heterogametic,37,36.5,-0.0136057,,,3.36,N,,
,,,,,,2.73,N,,
,,,,,,2.86,N,,
male heterogametic,12.8,17.1,0.28963329,,,,N,,
,,,,,,3.18,N,,
,,,,,,3.29,N,,
,,,,,,3.25,N,,
,,,,,,3.18,N,,
male heterogametic,28,30,0.06899287,,,,N,,
male heterogametic,27,23,-0.1603427,,,,N,,
male heterogametic,12.7,15,0.16644821,,,,N,,
male heterogametic,19.33,18,-0.0712865,,,,N,,
male heterogametic,2.75,2.93,0.06340151,,,,N,,
male heterogametic,683.2,525,-0.2633894,,,,N,,
male heterogametic,5.6,7.6,0.30538165,,,,N,,
male heterogametic,7,13,0.61903921,,,,N,,
male heterogametic,1.5,3,0.69314718,,,,N,,
male heterogametic,13.6,18.6,0.31309179,,,,N,,
male heterogametic,5,4.75,-0.0512933,,,,N,,
male heterogametic,3,4.75,0.45953233,,,,N,,
male heterogametic,13.6,18.3,0.29683127,,,,N,,
,,,,,,2.57,N,,
,,,,,,3.06,N,,
male heterogametic,3,3.5,0.15415068,,,,N,,
male heterogametic,3,4,0.28768207,,,,N,,
male heterogametic,1.74,2.8,0.4757343,,,,N,,
male heterogametic,5,8,0.47000363,,,,N,,
male heterogametic,4,6,0.40546511,,,,N,,
male heterogametic,3,5,0.51082562,,,,N,,
male heterogametic,3,4,0.28768207,,,,N,,
male heterogametic,3,5,0.51082562,,,,N,,
male heterogametic,3.41,4.08,0.1793847,,,3.55,N,,
male heterogametic,24,18,-0.2876821,,4.59,5.87,Y,,4489.02
female heterogametic,2.59,2.3,-0.1187488,,,1.85,N,,
male heterogametic,4.38,4.65,0.0598185,,,,N,,
female heterogametic,53.4,55.7,0.0421694,,,2.19,N,,
female heterogametic,5,13,0.95551145,,,,N,,
male heterogametic,,,,,,,Y,395.2,384.8
male heterogametic,,,,,,,Y,298.2,262.4
male heterogametic,,,,,,,Y,175.4,173.9
male heterogametic,42.46,36.32,-0.156193903,,,,Y,165.6,168.7
NA,,,,,,,Y,170,161.7
NA,,,,,,,Y,170,156.2
male heterogametic,31.2,51.2,0.495321437,,,,Y,168.3,158.9
male heterogametic,,,,,,,Y,179.9,169
male heterogametic,,,,,,,Y,171.8,159.1
male heterogametic,,,,,,,Y,187.5,165.5
male heterogametic,,,,,,,Y,203.1,192.9
male heterogametic,,,,,,,Y,201.8,207.5
male heterogametic,,,,,,,Y,231,218.7
male heterogametic,,,,,,,Y,207.4,199.5
male heterogametic,,,,,,,Y,145.2,137.5
male heterogametic,,,,,,,Y,155.8,145.6
male heterogametic,,,,,,,Y,176.5,148.3
male heterogametic,,,,,,,Y,245.9,250.1
Neo,,,,,,,Y,176.8,174.3
Neo,,,,,,,Y,192.1,191.6
Neo,,,,,,,Y,175.9,175.3
male heterogametic,,,,,,,Y,206.4,207.1
Neo,,,,,,,Y,241.6,249.6
Neo,,,,,,,Y,298,303.1
Neo,,,,,,,Y,227.6,229.3
male heterogametic,,,,,,,Y,257.8,261.5
male heterogametic,60.4,78,0.255719722,,,,Y,240.6,242.8
male heterogametic,,,,,,,Y,259.5,259.3
male heterogametic,,,,,,,Y,253.1,260.1
male heterogametic,,,,,,,Y,192.9,197.9
male heterogametic,,,,,,,Y,256.4,254.4
male heterogametic,,,,,,,Y,196,192.4
male heterogametic,,,,,,,Y,312.7,308.5
male heterogametic,,,,,,,Y,249.3,252.7
male heterogametic,52.79,62.28,0.165318568,,,,Y,325.4,338.2
male heterogametic,,,,,,,Y,202.5,206
male heterogametic,,,,,,,Y,191.6,194.9
male heterogametic,,,,,,,Y,200.2,193.1
male heterogametic,,,,,,,Y,224.3,226.9
male heterogametic,,,,,,,Y,174.5,174.9
NA,,,,,,,Y,203.2,199.9
NA,,,,,,,Y,194.3,187.7
male heterogametic,,,,,,,Y,234.8,229.9
NA,,,,,,,Y,199.3,195.5
male heterogametic,,,,,,,Y,198.1,199.2
